id,sku,item_url,Ключевое слово # (#16),,
633,К020053,https://flower-club.ru/bukety/buket-345,,,
634,К080932,https://flower-club.ru/bukety/buket-346,,,
635,К080945,https://flower-club.ru/bukety/buket-347,,,
636,К008567,https://flower-club.ru/bukety/buket-348,,,
637,К03900,https://flower-club.ru/buket-349,,,
638,Я0032,https://flower-club.ru/bukety/buket-350,,,
639,Я002120,https://flower-club.ru/bukety/buket-351,,,
640,Я005673,https://flower-club.ru/bukety/buket-352,,,
641,Я100093,https://flower-club.ru/bukety/buket-353,,,
642,Б01200,https://flower-club.ru/bukety/biznes/buket-354,,,
643,K011093,https://flower-club.ru/bukety/buket-355,,,
644,Б001122,https://flower-club.ru/bukety/biznes/buket-356,,,
645,Б001222,https://flower-club.ru/bukety/den-rozhdeniya/buket-357,,,
